index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content,rec_9
3079,Ginga Hyouryuu Vifam,Taiyou no Kiba Dagram,Aldnoah.Zero,Kidou Senshi Gundam II: Ai Senshi-hen,Kidou Senshi Gundam,Rokushin Gattai GodMars,Soukou Kihei Votoms,Uchuu no Kishi Tekkaman Blade,,"Ueda, Masuo:Producer","Takahashi, Ryousuke:Director","Yatabe, Katsuyoshi:Episode Director","Amino, Tetsurou:Episode Director",Aoki Ryuusei SPT Layzner,#4360,#7363,"6,915",3,0,0,"['Ueda, Masuo', 'Producer'], ['Takahashi, Ryousuke', 'Director'], ['Yatabe, Katsuyoshi', 'Episode Director'], ['Amino, Tetsurou', 'Episode Director']","Type, 
TV","Episodes, 
  38","Status, 
  Finished Airing","Aired, 
  Oct 3, 1985 to Jun 26, 1986","Producers, 
    None found, add some","Licensors, 
Discotek Media","Studios, 
Sunrise","Source, 
  Original","Genre, 
Sci-FiSci-Fi","Themes, 
MechaMecha,         MilitaryMilitary,         SpaceSpace","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.961 (scored by 17201,720 users)
      


1
          indicates a weighted score.",Alternative version:: /anime/5755/Aoki_Ryuusei_SPT_Layzner_OVA,
3059,Kidou Senshi Gundam SEED,,,,,,,,,"Annou, Masami:Director","Asari, Naoko:Sound Director","Katayama, Kazuyoshi:Episode Director","Ishiyama, Takaaki:Episode Director",Ninja Senshi Tobikage,#4022,#8373,"5,044",2,0,0,"['Annou, Masami', 'Director'], ['Asari, Naoko', 'Sound Director'], ['Katayama, Kazuyoshi', 'Episode Director'], ['Ishiyama, Takaaki', 'Episode Director']","Episodes, 
  43","Status, 
  Finished Airing","Aired, 
  Oct 6, 1985 to Jul 27, 1986","Premiered, 
Fall 1985","Licensors, 
Discotek Media","Studios, 
Pierrot","Source, 
  Original","Genres, 
ActionAction,         AdventureAdventure,         Sci-FiSci-Fi","Themes, 
MechaMecha,         SpaceSpace","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.041 (scored by 15761,576 users)
      


1
          indicates a weighted score.","Ranked, 
  #40222

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",,
714,Ike! Ina-chuu Takkyuu-bu,Himouto! Umaru-chan,Dash! Kappei,,,,,,,"Fukutomi, Hiroshi:Director","Watanabe, Takashi:Episode Director","Takamoto, Yoshihiro:Episode Director","Kudou, Shizuka:Theme Song Performance",High School! Kimengumi,#1925,#8894,"4,263",1,0,0,"['Fukutomi, Hiroshi', 'Director'], ['Watanabe, Takashi', 'Episode Director'], ['Takamoto, Yoshihiro', 'Episode Director'], ['Kudou, Shizuka', 'Theme Song Performance']","Type, 
TV","Episodes, 
  86","Status, 
  Finished Airing","Aired, 
  Oct 20, 1985 to Oct 3, 1987","Producers, 
Tsuchida Productions","Licensors, 
    None found, add some","Studios, 
Gallop,       Studio Comet","Source, 
  Manga","Genres, 
ComedyComedy,         RomanceRomance","Themes, 
Gag HumorGag Humor,         ParodyParody,         SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  25 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Adaptation:: /manga/7634/High_School_Kimengumi, Side story:: /anime/5956/High_School_Kimengumi_Movie",
7307,Revenge of Green Mutant,,,,,,,,,"Kasai, Osamu:Director","Okazaki, Minoru:Episode Director","Nagaoka, Akinori:Episode Director","Shirato, Takeshi:Episode Director",Gegege no Kitarou (1985),#5049,#10211,"2,723",0,0,0,"['Kasai, Osamu', 'Director'], ['Okazaki, Minoru', 'Episode Director'], ['Nagaoka, Akinori', 'Episode Director'], ['Shirato, Takeshi', 'Episode Director']","Episodes, 
  108","Status, 
  Finished Airing","Aired, 
  Oct 12, 1985 to Feb 6, 1988","Premiered, 
Fall 1985","Licensors, 
    None found, add some","Studios, 
Toei Animation","Source, 
  Manga","Genres, 
ComedyComedy,         SupernaturalSupernatural","Duration, 
  25 min. per ep.","Rating, 
  G - All Ages","Score, 
6.821 (scored by 746746 users)
      


1
          indicates a weighted score.","Ranked, 
  #50492

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #10211","Adaptation:: /manga/10499/GeGeGe_no_Kitarou, Alternative version:: /anime/2165/Gegege_no_Kitarou_2007, Spin-off:: /anime/3710/Hakaba_Kitarou, Side story:: /anime/8152/Gegege_no_Kitarou_1985_Movie, Other:: /anime/37140/Gegege_no_Kitarou_2018",
17211,Sexy Commando Gaiden: Sugoi yo!! Masaru-san,Igano Kabamaru,Chou Kuse ni Narisou,Dr. Slump,Papa to Odorou,Chuubyou Gekihatsu Boy,,,,"Yoshida, Kenji:Producer","Ueda, Hidehito:Director","Sadamitsu, Shinya:Episode Director","Yamada, Takashi:Script",Shouwa Ahozoushi Akanuke Ichiban!,#7809,#12061,"1,479",1,0,0,"['Yoshida, Kenji', 'Producer'], ['Ueda, Hidehito', 'Director'], ['Sadamitsu, Shinya', 'Episode Director'], ['Yamada, Takashi', 'Script']","Status, 
  Finished Airing","Aired, 
  Oct 7, 1985 to Mar 24, 1986","Premiered, 
Fall 1985","Broadcast, 
    Unknown","Studios, 
Tatsunoko Production","Source, 
  Manga","Genre, 
ComedyComedy","Demographic, 
ShoujoShoujo","Duration, 
  25 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.321 (scored by 285285 users)
      


1
          indicates a weighted score.","Ranked, 
  #78092

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #12061",,
3812,,,,,,,,,,"Yamada, Etsuji:Sound Director","Hata, Masami:Episode Director","Yamada, Katsuhisa:Episode Director","Takagaki, Kouzou:Episode Director",Yume no Hoshi no Button Nose,#8001,#13535,946,0,0,0,"['Yamada, Etsuji', 'Sound Director'], ['Hata, Masami', 'Episode Director'], ['Yamada, Katsuhisa', 'Episode Director'], ['Takagaki, Kouzou', 'Episode Director']","Type, 
TV","Episodes, 
  26","Status, 
  Finished Airing","Aired, 
  Oct 19, 1985 to Apr 26, 1986","Producers, 
TV Asahi,       Sanrio","Licensors, 
    None found, add some","Studios, 
    None found, add some","Source, 
  Original","Genre, 
AdventureAdventure","Demographic, 
KidsKids","Duration, 
  25 min. per ep.","Rating, 
  PG - Children","Score, 
6.291 (scored by 363363 users)
      


1
          indicates a weighted score.",,
885,Serial Experiments Lain,Nekojiru-sou,Cossette no Shouzou,Haibane Renmei,Ginga Tetsudou no Yoru,Ergo Proxy,Texhnolyze,1001 Nights,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni","Suzuki, Toshio:Producer","Hasegawa, Hiroshi:Producer","Oshii, Mamoru:Director","Shiba, Shigeharu:Sound Director",Tenshi no Tamago,#1183,#1510,"151,848",78,11,9,"['Suzuki, Toshio', 'Producer'], ['Hasegawa, Hiroshi', 'Producer'], ['Oshii, Mamoru', 'Director'], ['Shiba, Shigeharu', 'Sound Director']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Dec 22, 1985","Producers, 
Tokuma Shoten","Source, 
  Original","Genres, 
Avant GardeAvant Garde,         DramaDrama,         FantasyFantasy","Duration, 
  1 hr. 11 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.711 (scored by 5911259,112 users)
      


1
          indicates a weighted score.","Ranked, 
  #11832

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #1510","Members, 
    151,848","Favorites, 
  3,423",,Robot Carnival
2291,Kannazuki no Miko,Koutetsu Tenshi Kurumi 2,Rinne no Lagrange,Kyoushoku Soukou Guyver (1989),Dirty Pair OVA,Genocyber,Rayearth,Shinseiki Evangelion,Devilman: Tanjou-hen,"Seymour, Kevin:Producer","Hirano, Toshiki:Director","Honda, Yasunori:Sound Director","Nishimori, Akira:Episode Director",Tatakae!! Iczer-1,#8330,#6430,"9,664",3,3,2,"['Seymour, Kevin', 'Producer'], ['Hirano, Toshiki', 'Director'], ['Honda, Yasunori', 'Sound Director'], ['Nishimori, Akira', 'Episode Director']","Type, 
OVA","Episodes, 
  3","Status, 
  Finished Airing","Aired, 
  Oct 19, 1985 to Mar 4, 1987","Studios, 
AIC","Source, 
  Manga","Genres, 
ActionAction,         Sci-FiSci-Fi,         EcchiEcchi","Theme, 
MechaMecha","Duration, 
  33 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
6.221 (scored by 36283,628 users)
      


1
          indicates a weighted score.","Ranked, 
  #83302

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #6430","Adaptation:: /manga/49629/Iczer_Densetsu, Sequel:: /anime/2292/Bouken_Iczer_3",Magic Knight Rayearth II
4003,Paprika,Mujigen Hunter Fandora,Mahou Shoujo Madoka★Magica,Time Slip Ichimannen: Prime Rose,,,,,,"Okuda, Seiji:Director","Kawai, Kenji:Music","Okiura, Hiroyuki:Key Animation","Oobari, Masami:Key Animation",Dream Hunter Rem,#7563,#6627,"8,996",3,1,0,"['Okuda, Seiji', 'Director'], ['Kawai, Kenji', 'Music'], ['Okiura, Hiroyuki', 'Key Animation'], ['Oobari, Masami', 'Key Animation']","Status, 
  Finished Airing","Aired, 
  Dec 15, 1985 to Feb 25, 1987","Producers, 
Project Team Eikyuu Kikan","Licensors, 
    None found, add some","Genres, 
ActionAction,         FantasyFantasy,         MysteryMystery,         EcchiEcchi","Themes, 
Mahou ShoujoMahou Shoujo,         MythologyMythology","Duration, 
  40 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
6.361 (scored by 22532,253 users)
      


1
          indicates a weighted score.","Ranked, 
  #75632

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #6627","Members, 
    8,996","Favorites, 
  20",Sequel:: /anime/5585/New_Dream_Hunter_Rem__Yume_no_Kishi-tachi,
2973,InuYasha,Natsu-iro no Sunadokei,Kamisama Hajimemashita: Kako-hen,Unkai no Meikyuu Zeguy,Hanyou no Yashahime: Sengoku Otogizoushi,,,,,"Nunokawa, Yuuji:Producer","Takahashi, Motosuke:Director","Akimoto, Kaoru:Theme Song Performance","Takahashi, Rumiko:Original Creator",Fire Tripper,#7373,#8024,"5,639",5,0,2,"['Nunokawa, Yuuji', 'Producer'], ['Takahashi, Motosuke', 'Director'], ['Akimoto, Kaoru', 'Theme Song Performance'], ['Takahashi, Rumiko', 'Original Creator']","Type, 
OVA","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Dec 16, 1985","Studios, 
Pierrot","Source, 
  Manga","Genres, 
FantasyFantasy,         Sci-FiSci-Fi","Theme, 
Time TravelTime Travel","Duration, 
  50 min.","Rating, 
  R+ - Mild Nudity","Score, 
6.401 (scored by 26382,638 users)
      


1
          indicates a weighted score.","Ranked, 
  #73732

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #8024","Adaptation:: /manga/10810/Rumic_World, Other:: /anime/2018/Warau_Hyouteki",
