index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content,rec_7
1093,Shokugeki no Souma,Mister Ajikko,Ippon Bouchou Mantarou,Cooking Papa,Ryoutei no Aji,Shin Chuuka Ichiban!,,,,"Takeuchi, Yoshio:Director","Urakami, Yasuo:Sound Director","Mizushima, Tsutomu:Episode Director","Yonetani, Yoshitomo:Episode Director",Oishinbo,#4397,#8846,"4,333",3,0,0,"['Takeuchi, Yoshio', 'Director'], ['Urakami, Yasuo', 'Sound Director'], ['Mizushima, Tsutomu', 'Episode Director'], ['Yonetani, Yoshitomo', 'Episode Director']","Episodes, 
  136","Status, 
  Finished Airing","Aired, 
  Oct 17, 1988 to Mar 17, 1992","Premiered, 
Fall 1988","Licensors, 
    None found, add some","Studios, 
Shin-Ei Animation","Source, 
  Manga","Genres, 
ComedyComedy,         GourmetGourmet,         Slice of LifeSlice of Life","Demographic, 
SeinenSeinen","Duration, 
  23 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.961 (scored by 706706 users)
      


1
          indicates a weighted score.","Ranked, 
  #43972

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/8820/Oishinbo, Sequel:: /anime/8848/Oishinbo__Kyuukyoku_tai_Shikou_Chouju_Ryouri_Taiketsu, Other:: /anime/49450/Oishinbo_Pilot",
1960,Shima Shima Tora no Shimajirou,Kakutou Ryouri Densetsu Bistro Recipe,Salad Juu Yuushi Tomatoman,,,,,,,"Nakatani, Toshio:Producer","Yatabe, Katsuyoshi:Director","Nagaoka, Akinori:Director","Shinohara, Toshiya:Episode Director",Sore Ike! Anpanman,#5397,#9089,"3,952",1,0,0,"['Nakatani, Toshio', 'Producer'], ['Yatabe, Katsuyoshi', 'Director'], ['Nagaoka, Akinori', 'Director'], ['Shinohara, Toshiya', 'Episode Director']","Episodes, 
  Unknown","Status, 
  Currently Airing","Aired, 
  Oct 3, 1988 to ?","Premiered, 
Fall 1988","Licensors, 
    None found, add some","Studios, 
TMS Entertainment","Source, 
  Picture book","Genres, 
ComedyComedy,         FantasyFantasy","Demographic, 
KidsKids","Duration, 
  24 min.","Rating, 
  PG - Children","Score, 
6.751 (scored by 13181,318 users)
      


1
          indicates a weighted score.","Ranked, 
  #53972

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Side story:: /anime/9007/Sore_Ike_Anpanman__Black_Nose_to_Mahou_no_Uta, Other:: /anime/19557/Anpanman_to_Hajimeyou_Iro_Kazu_Katachi_Wakaru_ka_na_Iro_Katachi",
2467,,,,,,,,,,"Kohanawa, Tameo:Storyboard","Kabeya, Jean-Marc Anthony:Theme Song Performance","Kanasaki, Takaomi:In-Between Animation","Murata, Masahiko:Animation Director",3 Choume no Tama: Uchi no Tama Shirimasen ka?,#6171,#10118,"2,788",0,0,0,"['Kohanawa, Tameo', 'Storyboard'], ['Kabeya, Jean-Marc Anthony', 'Theme Song Performance'], ['Kanasaki, Takaomi', 'In-Between Animation'], ['Murata, Masahiko', 'Animation Director']","Type, 
TV","Episodes, 
  36","Status, 
  Finished Airing","Aired, 
  Nov 21, 1988 to Sep 25, 1994","Producers, 
Sony Music Entertainment,       Sony Creative Products","Licensors, 
    None found, add some","Studios, 
Group TAC","Source, 
  Other","Genre, 
AdventureAdventure","Theme, 
PetsPets","Duration, 
  23 min. per ep.","Rating, 
  G - All Ages","Score, 
6.611 (scored by 11121,112 users)
      


1
          indicates a weighted score.","Other:: /anime/12589/3_Choume_no_Tama__Onegai_Momo-chan_wo_Sagashite, Spin-off:: /anime/49555/Tama___Friends__Sagase_Mahou_no_Punipuni_Stone",
4061,,,,,,,,,,"Yokota, Kazuyoshi:Episode Director","Kramer, Steve:Script","Saitou, Hiroshi:Storyboard","Hashimoto, Ushio:Theme Song Performance",Shin Grimm Meisaku Gekijou,#2681,#10167,"2,754",1,0,0,"['Yokota, Kazuyoshi', 'Episode Director'], ['Kramer, Steve', 'Script'], ['Saitou, Hiroshi', 'Storyboard'], ['Hashimoto, Ushio', 'Theme Song Performance']","Type, 
TV","Episodes, 
  23","Status, 
  Finished Airing","Aired, 
  Oct 2, 1988 to Mar 26, 1989","Producers, 
    None found, add some","Licensors, 
Discotek Media,       Saban Entertainment","Studios, 
Nippon Animation","Source, 
  Other","Genres, 
AdventureAdventure,         ComedyComedy,         FantasyFantasy","Demographic, 
KidsKids","Duration, 
  20 min. per ep.","Rating, 
  G - All Ages","Score, 
7.301 (scored by 10631,063 users)
      


1
          indicates a weighted score.",Prequel:: /anime/4060/Grimm_Meisaku_Gekijou,
3838,,,,,,,,,,"Shibata, Hiroki:Director","Rissen, Hirotoshi:Episode Director","Arisako, Toshihiko:Episode Director","Yamayoshi, Yasuo:Episode Director",Himitsu no Akko-chan 2,#6117,#12484,"1,282",1,0,0,"['Shibata, Hiroki', 'Director'], ['Rissen, Hirotoshi', 'Episode Director'], ['Arisako, Toshihiko', 'Episode Director'], ['Yamayoshi, Yasuo', 'Episode Director']","Episodes, 
  61","Status, 
  Finished Airing","Aired, 
  Oct 9, 1988 to Dec 24, 1989","Premiered, 
Fall 1988","Licensors, 
    None found, add some","Studios, 
Toei Animation","Source, 
  Unknown","Themes, 
Mahou ShoujoMahou Shoujo,         SchoolSchool","Demographic, 
ShoujoShoujo","Duration, 
  24 min. per ep.","Rating, 
  G - All Ages","Score, 
6.621 (scored by 336336 users)
      


1
          indicates a weighted score.","Ranked, 
  #61172

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Alternative version:: /anime/3285/Himitsu_no_Akko-chan, Side story:: /anime/12569/Himitsu_no_Akko-chan_Movie",
4616,,,,,,,,,,"Ishiguro, Noboru:Director","Koshi, Shigeo:Director","Kimura, Satoshi:Episode Director","Kitagawa, Masato:Episode Director",Yumemiru Topo Gigio,#9321,#12886,"1,137",0,0,0,"['Ishiguro, Noboru', 'Director'], ['Koshi, Shigeo', 'Director'], ['Kimura, Satoshi', 'Episode Director'], ['Kitagawa, Masato', 'Episode Director']","Episodes, 
  13","Status, 
  Finished Airing","Aired, 
  Oct 7, 1988 to Dec 30, 1988","Premiered, 
Fall 1988","Licensors, 
    None found, add some","Studios, 
Nippon Animation","Source, 
  Unknown","Genres, 
AdventureAdventure,         ComedyComedy","Demographic, 
KidsKids","Duration, 
  26 min. per ep.","Rating, 
  PG - Children","Score, 
6.031 (scored by 505505 users)
      


1
          indicates a weighted score.","Ranked, 
  #93212

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Prequel:: /anime/4584/Topo_Gigio,
5534,Mama wa Poyopoyo Saurus ga Osuki,,,,,,,,,"Tsunoda, Toshitaka:Director","Yoshida, Hiroshi:Episode Director","Hosoya, Akio:Episode Director","Watanabe, Mami:Script",Hai! Akko desu,#4503,#13315,"1,003",0,0,0,"['Tsunoda, Toshitaka', 'Director'], ['Yoshida, Hiroshi', 'Episode Director'], ['Hosoya, Akio', 'Episode Director'], ['Watanabe, Mami', 'Script']","Episodes, 
  164","Status, 
  Finished Airing","Aired, 
  Oct 12, 1988 to Mar 26, 1992","Premiered, 
Fall 1988","Licensors, 
    None found, add some","Studios, 
Eiken","Source, 
  Manga","Genres, 
RomanceRomance,         Slice of LifeSlice of Life","Duration, 
  25 min. per ep.","Rating, 
  G - All Ages","Score, 
6.931 (scored by 236236 users)
      


1
          indicates a weighted score.","Ranked, 
  #45032

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #13315",,
4121,,,,,,,,,,,,,,Meimon! Daisan Yakyuu-bu,#5988,#13828,871,0,0,0,,"Episodes, 
  40","Status, 
  Finished Airing","Aired, 
  Oct 20, 1988 to Sep 29, 1989","Premiered, 
Fall 1988","Licensors, 
    None found, add some","Studios, 
    None found, add some","Source, 
  Unknown","Genre, 
SportsSports","Theme, 
Team SportsTeam Sports","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.641 (scored by 180180 users)
      


1
          indicates a weighted score.",Adaptation:: /manga/145535/Meimon_Daisan_Yakyuubu,
820,Code Geass: Hangyaku no Lelouch,Monster,Versailles no Bara,Tytania,Death Note,Kenpuu Denki Berserk,Mahouka Koukou no Rettousei,Seikai no Monshou,Shingeki no Kyojin: The Final Season,"Ishiguro, Noboru:Director","Aketagawa, Susumu:Sound Director","Motonaga, Keitarou:Episode Director","Shinohara, Toshiya:Episode Director",Ginga Eiyuu Densetsu,#10,#744,"319,980",165,13,10,"['Ishiguro, Noboru', 'Director'], ['Aketagawa, Susumu', 'Sound Director'], ['Motonaga, Keitarou', 'Episode Director'], ['Shinohara, Toshiya', 'Episode Director']","Type, 
OVA","Episodes, 
  110","Status, 
  Finished Airing","Aired, 
  Jan 8, 1988 to Mar 17, 1997","Studios, 
K-Factory,       Kitty Film Mitaka Studio","Source, 
  Novel","Genres, 
DramaDrama,         Sci-FiSci-Fi","Themes, 
Adult CastAdult Cast,         MilitaryMilitary,         SpaceSpace","Duration, 
  26 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
9.021 (scored by 7869178,691 users)
      


1
          indicates a weighted score.","Ranked, 
  #102

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #744","Adaptation:: /manga/6978/Ginga_Eiyuu_Densetsu, Prequel:: /anime/3016/Ginga_Eiyuu_Densetsu__Arata_naru_Tatakai_no_Overture, Side story:: /anime/3371/Ginga_Eiyuu_Densetsu_Gaiden, Alternative version:: /anime/31433/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Kaikou",Uchuu Senkan Yamato 2199
949,Shinseiki Evangelion,Tengen Toppa Gurren Lagann,Hoshi no Koe,Ace wo Nerae!,Sidonia no Kishi,Ace wo Nerae! (1979),Macross,FLCL,iDOLM@STER Xenoglossia,"Watanabe, Shigeru:Producer","Sasaki, Shirou:Producer","Anno, Hideaki:Director","Masuo, Shouichi:Episode Director",Top wo Nerae! Gunbuster,#843,#1727,"128,092",52,11,7,"['Watanabe, Shigeru', 'Producer'], ['Sasaki, Shirou', 'Producer'], ['Anno, Hideaki', 'Director'], ['Masuo, Shouichi', 'Episode Director']","Type, 
OVA","Episodes, 
  6","Status, 
  Finished Airing","Aired, 
  Oct 7, 1988 to Jul 7, 1989","Studios, 
Gainax","Source, 
  Original","Genres, 
ActionAction,         Award WinningAward Winning,         ComedyComedy,         DramaDrama,         Sci-FiSci-Fi","Themes, 
MechaMecha,         MilitaryMilitary,         SpaceSpace","Duration, 
  30 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
7.861 (scored by 5338553,385 users)
      


1
          indicates a weighted score.","Ranked, 
  #8432

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #1727","Adaptation:: /manga/21158/Comic_Gunbuster, Sequel:: /anime/1002/Top_wo_Nerae_2_Diebuster, Alternative version:: /anime/1911/Top_wo_Nerae___Top_wo_Nerae_2_Gattai_Movie, Summary:: /anime/5462/Top_wo_Nerae_Kagaku_Kouza, Side story:: /anime/7248/Top_wo_Nerae_Gunbuster_Specials",Kidou Senshi Gundam 0083: Stardust Memory
