index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content
424,Panty & Stocking with Garterbelt,Taiho Shichau zo,City Hunter,Kiddy Grade,Slayers,Dominion,Bubblegum Crisis,Space Cobra,GS Mikami,Lost Universe,"Takizawa, Toshifumi:Director","Kashima, Norio:Director","Chiba, Kouichi:Sound Director","Kase, Mitsuko:Episode Director",Dirty Pair,#3179,#3854,"32,810",7,2,1,"['Takizawa, Toshifumi', 'Director'], ['Kashima, Norio', 'Director'], ['Chiba, Kouichi', 'Sound Director'], ['Kase, Mitsuko', 'Episode Director']","Episodes, 
  24","Status, 
  Finished Airing","Aired, 
  Jul 15, 1985 to Dec 26, 1985","Premiered, 
Summer 1985","Licensors, 
Nozomi Entertainment","Studios, 
Sunrise","Source, 
  Light novel","Genres, 
AdventureAdventure,         ComedyComedy,         Sci-FiSci-Fi","Duration, 
  24 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
7.211 (scored by 69546,954 users)
      


1
          indicates a weighted score.","Ranked, 
  #31792

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #3854","Adaptation:: /manga/20409/Dirty_Pair, Side story:: /anime/1794/Dirty_Pair_no_Ooshoubu__Nolandia_no_Nazo, Alternative setting:: /anime/1802/Dirty_Pair_Flash, Sequel:: /anime/1803/Dirty_Pair__Lovely_Angels_yori_Ai_wo_Komete"
2038,Mahou no Stage Fancy Lala,Mahou no Tenshi Creamy Mami,Mahou no Princess Minky Momo: Yume no Naka no Rondo,,,,,,,,"Annou, Takashi:Director","Fujiyama, Fusanobu:Sound Director","Mochizuki, Tomomi:Episode Director","Katayama, Kazuyoshi:Episode Director",Mahou no Star Magical Emi,#3078,#8146,"5,449",0,1,0,"['Annou, Takashi', 'Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Mochizuki, Tomomi', 'Episode Director'], ['Katayama, Kazuyoshi', 'Episode Director']","Type, 
TV","Episodes, 
  38","Status, 
  Finished Airing","Aired, 
  Jun 7, 1985 to Feb 28, 1986","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Pierrot","Source, 
  Original","Genres, 
ComedyComedy,         Slice of LifeSlice of Life","Themes, 
Mahou ShoujoMahou Shoujo,         Performing ArtsPerforming Arts","Duration, 
  23 min. per ep.","Rating, 
  G - All Ages","Score, 
7.221 (scored by 16461,646 users)
      


1
          indicates a weighted score.","Spin-off:: /anime/2080/Majokko_Club_Yoningumi__A_Kuukan_kara_no_Alien_X, Side story:: /anime/8431/Mahou_no_Star_Magical_Emi__Kumo_Hikaru, Sequel:: /anime/8443/Mahou_no_Star_Magical_Emi__Semishigure, Summary:: /anime/33358/Mahou_no_Star_Magical_Emi__Finale_Finale"
17599,,,,,,,,,,,"Endou, Yuuji:Producer","Morishita, Kouzou:Director","Yanagawa, Shigeru:Director","Yamauchi, Shigeyasu:Episode Director",Konpora Kid,#15649,#17685,353,0,0,0,"['Endou, Yuuji', 'Producer'], ['Morishita, Kouzou', 'Director'], ['Yanagawa, Shigeru', 'Director'], ['Yamauchi, Shigeyasu', 'Episode Director']","Episodes, 
  26","Status, 
  Finished Airing","Aired, 
  Jun 3, 1985 to Dec 23, 1985","Premiered, 
Summer 1985","Licensors, 
    None found, add some","Studios, 
Toei Animation","Source, 
  Unknown","Genres, 
ComedyComedy,         Sci-FiSci-Fi","Demographic, 
KidsKids","Duration, 
  25 min. per ep.","Rating, 
  PG - Children","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  #156492

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",
1919,,,,,,,,,,,"Maruyama, Masao:Producer","Matsuzaki, Yoshiyuki:Producer","Hasegawa, Hiroshi:Producer","Yamazaki, Kazuo:Director",Urusei Yatsura OVA,#2442,#6919,"8,157",1,0,0,"['Maruyama, Masao', 'Producer'], ['Matsuzaki, Yoshiyuki', 'Producer'], ['Hasegawa, Hiroshi', 'Producer'], ['Yamazaki, Kazuo', 'Director']","Episodes, 
  11","Status, 
  Finished Airing","Aired, 
  Sep 24, 1985 to Jun 21, 1991","Producers, 
    None found, add some","Source, 
  Manga","Genres, 
AdventureAdventure,         ComedyComedy,         Sci-FiSci-Fi","Demographic, 
ShounenShounen","Duration, 
  32 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.351 (scored by 27482,748 users)
      


1
          indicates a weighted score.","Ranked, 
  #24422

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #6919","Members, 
    8,157","Adaptation:: /manga/304/Urusei_Yatsura, Prequel:: /anime/1293/Urusei_Yatsura, Other:: /anime/6567/Urusei_Yatsura__The_Shougaibutsu_Suieitaikai"
2583,,,,,,,,,,,"Takahashi, Ryousuke:Director","Urakami, Yasuo:Sound Director","Kase, Mitsuko:Episode Director","Yatate, Hajime:Original Creator",Soukou Kihei Votoms: The Last Red Shoulder,#3760,#8819,"4,368",2,1,0,"['Takahashi, Ryousuke', 'Director'], ['Urakami, Yasuo', 'Sound Director'], ['Kase, Mitsuko', 'Episode Director'], ['Yatate, Hajime', 'Original Creator']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Aug 21, 1985","Producers, 
    None found, add some","Source, 
  Original","Genres, 
ActionAction,         DramaDrama,         Sci-FiSci-Fi","Themes, 
MechaMecha,         MilitaryMilitary","Duration, 
  54 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.101 (scored by 20302,030 users)
      


1
          indicates a weighted score.","Ranked, 
  #37602

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #8819","Members, 
    4,368",Parent story:: /anime/2582/Soukou_Kihei_Votoms
5622,Osomatsu-san Short Film Series,,,,,,,,,,"Hirose, Kazuyoshi:Producer","Kanada, Yoshinori:Storyboard","Fujiwara, Kamui:Storyboard","Sugiura, Mamoru:Storyboard",The Chocolate Panic Picture Show,#13076,#9300,"3,674",0,1,4,"['Hirose, Kazuyoshi', 'Producer'], ['Kanada, Yoshinori', 'Storyboard'], ['Fujiwara, Kamui', 'Storyboard'], ['Sugiura, Mamoru', 'Storyboard']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Sep 21, 1985","Producers, 
TV Asahi","Source, 
  Manga","Genre, 
Avant GardeAvant Garde","Theme, 
PsychologicalPsychological","Duration, 
  25 min.","Rating, 
  R - 17+ (violence & profanity)","Score, 
4.301 (scored by 17191,719 users)
      


1
          indicates a weighted score.","Ranked, 
  #130762

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #9300","Members, 
    3,674",Adaptation:: /manga/117122/Chocolate_Panic
5907,Genmu Senki Leda,Dream Hunter Rem,Time Slip Ichimannen: Prime Rose,,,,,,,,"Kageyama, Shigenori:Director","Yoshida, Hiroshi:Director","Matsuura, Noriyoshi:Sound Director","Yamada, Takashi:Script",Mujigen Hunter Fandora,#9864,#9846,"3,079",0,0,1,"['Kageyama, Shigenori', 'Director'], ['Yoshida, Hiroshi', 'Director'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Yamada, Takashi', 'Script']","Type, 
OVA","Episodes, 
  3","Status, 
  Finished Airing","Aired, 
  Sep 21, 1985 to Nov 21, 1986","Studios, 
Kaname Productions","Source, 
  Original","Genres, 
AdventureAdventure,         FantasyFantasy,         Sci-FiSci-Fi","Duration, 
  40 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
5.911 (scored by 925925 users)
      


1
          indicates a weighted score.","Ranked, 
  #98642

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #9846","Members, 
    3,079",
2056,Choujin Locke,Terra e...,Choujin Locke: Lord Leon,,,,,,,,"Nunokawa, Yuuji:Producer","Takahashi, Motosuke:Director","Kamimura, Osamu:Episode Director","Hoshiyama, Hiroyuki:Script",Cosmo Police Justy,#11748,#10070,"2,830",1,0,3,"['Nunokawa, Yuuji', 'Producer'], ['Takahashi, Motosuke', 'Director'], ['Kamimura, Osamu', 'Episode Director'], ['Hoshiyama, Hiroyuki', 'Script']","Status, 
  Finished Airing","Aired, 
  Jul 20, 1985","Producers, 
    None found, add some","Licensors, 
    None found, add some","Genres, 
ActionAction,         Sci-FiSci-Fi,         SupernaturalSupernatural","Themes, 
SpaceSpace,         Super PowerSuper Power","Demographic, 
ShounenShounen","Duration, 
  43 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
5.401 (scored by 12611,261 users)
      


1
          indicates a weighted score.","Ranked, 
  #117482

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #10070","Members, 
    2,830",Adaptation:: /manga/12934/Justy
2272,Nurse Angel Ririka SOS,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,Mahou no Star Magical Emi,,,,,,,,"Yuyama, Kunihiko:Director","Watanabe, Hiroshi:Director","Fujiyama, Fusanobu:Sound Director","Shudou, Takeshi:Script",Mahou no Princess Minky Momo: Yume no Naka no Rondo,#6244,#10781,"2,281",1,1,0,"['Yuyama, Kunihiko', 'Director'], ['Watanabe, Hiroshi', 'Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Shudou, Takeshi', 'Script']","Type, 
OVA","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Jul 28, 1985","Studios, 
Ashi Productions","Source, 
  Unknown","Theme, 
Mahou ShoujoMahou Shoujo","Duration, 
  1 hr. 26 min.","Rating, 
  G - All Ages","Score, 
6.591 (scored by 811811 users)
      


1
          indicates a weighted score.","Ranked, 
  #62442

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #10781","Members, 
    2,281","Parent story:: /anime/518/Mahou_no_Princess_Minky_Momo, Side story:: /anime/8972/Mahou_no_Princess_Minky_Momo_vs_Mahou_no_Tenshi_Creamy_Mami"
3671,Macross 7,,,,,,,,,,"Yamada, Katsuhisa:Director","Hisaishi, Joe:Music","Amano, Yoshitaka:Original Character Design","Tsuda, Yoshizou:Assistant Director","Genesis Climber Mospeada: Love, Live, Alive",#9079,#11318,"1,918",0,0,0,"['Yamada, Katsuhisa', 'Director'], ['Hisaishi, Joe', 'Music'], ['Amano, Yoshitaka', 'Original Character Design'], ['Tsuda, Yoshizou', 'Assistant Director']","Type, 
OVA","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Sep 1, 1985","Studios, 
Tatsunoko Production","Source, 
  Unknown","Genre, 
ActionAction","Themes, 
MechaMecha,         MusicMusic","Duration, 
  50 min.","Rating, 
  PG - Children","Score, 
6.081 (scored by 586586 users)
      


1
          indicates a weighted score.","Ranked, 
  #90792

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #11318",Full story:: /anime/3670/Kikou_Souseiki_Mospeada
