user_id,anime_id,rating
786,44,10
786,190,10
786,201,10
786,587,10
786,710,10
786,918,10
786,1210,10
786,1453,10
786,1536,10
786,2104,10
786,2251,10
786,2904,10
786,2966,10
786,3467,10
786,3483,10
786,3901,10
786,4059,10
786,4163,10
786,4181,10
786,4282,10
786,5039,10
786,5081,10
786,5114,10
786,5205,10
786,5341,10
786,6114,10
786,6351,10
786,6547,10
786,6864,10
786,6948,10
786,9181,10
786,9253,10
786,9969,10
786,10408,10
786,10863,10
786,10928,10
786,11433,10
786,11577,10
786,11617,10
786,11843,10
786,11887,10
786,12445,10
786,12893,10
786,13629,10
786,13759,10
786,14189,10
786,14353,10
786,14813,10
786,15335,10
786,15451,10
786,15771,10
786,15775,10
786,16001,10
786,16782,10
786,18245,10
786,19363,10
786,21647,10
786,22199,10
786,23847,10
786,26023,10
786,27775,10
786,27957,10
786,28851,10
786,28977,10
786,28999,10
786,29095,10
786,30296,10
786,30307,10
786,31043,10
786,31240,10
786,31715,10
786,31757,10
786,31758,10
786,32188,10
786,32366,10
786,33352,10
786,34240,10
786,35466,10
786,35843,10
786,36885,10
786,38145,10
786,38329,10
786,39547,10
786,42203,10
786,6,9
786,50,9
786,58,9
786,60,9
786,72,9
786,136,9
786,170,9
786,457,9
786,777,9
786,880,9
786,1003,9
786,1492,9
786,1559,9
786,1689,9
786,1698,9
786,2471,9
786,2593,9
786,3090,9
786,3455,9
786,3613,9
786,3782,9
786,3783,9
786,5150,9
786,5177,9
786,5277,9
786,5958,9
786,6347,9
786,6945,9
786,6956,9
786,7472,9
786,7647,9
786,8407,9
786,8425,9
786,8841,9
786,9074,9
786,9471,9
786,9611,9
786,10396,9
786,10397,9
786,10521,9
786,11001,9
786,11061,9
786,11179,9
786,11499,9
786,11757,9
786,11933,9
786,12189,9
786,12467,9
786,12673,9
786,12729,9
786,13093,9
786,13271,9
786,13757,9
786,14345,9
786,14741,9
786,14749,9
786,15379,9
786,15417,9
786,15689,9
786,15809,9
786,16498,9
786,17074,9
786,17641,9
786,17729,9
786,17895,9
786,18119,9
786,18753,9
786,18897,9
786,19163,9
786,19221,9
786,19369,9
786,19647,9
786,20507,9
786,20939,9
786,21899,9
786,22535,9
786,22687,9
786,22689,9
786,22789,9
786,22839,9
786,22865,9
786,22961,9
786,23277,9
786,23755,9
786,24703,9
786,24781,9
786,25777,9
786,25879,9
786,26123,9
786,28171,9
786,28223,9
786,28805,9
786,28907,9
786,29067,9
786,29786,9
786,29803,9
786,30015,9
786,30187,9
786,30240,9
786,30276,9
786,30300,9
786,30503,9
786,30727,9
