user_id,anime_id,rating
786,1,10
786,30,10
786,57,10
786,71,10
786,97,10
786,121,10
786,150,10
786,164,10
786,199,10
786,205,10
786,208,10
786,209,10
786,227,10
786,235,10
786,237,10
786,249,10
786,323,10
786,335,10
786,405,10
786,416,10
786,421,10
786,431,10
786,486,10
786,523,10
786,565,10
786,567,10
786,572,10
786,1482,10
786,1575,10
786,1710,10
786,1818,10
786,1827,10
786,1889,10
786,1943,10
786,2001,10
786,2236,10
786,2904,10
786,3588,10
786,4181,10
786,5114,10
786,6594,10
786,6811,10
786,7465,10
786,19775,10
786,24893,10
786,28223,10
786,31043,10
786,31859,10
786,33352,10
786,34939,10
786,36563,10
786,37435,10
786,72,9
786,73,9
786,120,9
786,134,9
786,135,9
786,339,9
786,550,9
786,759,9
786,934,9
786,1015,9
786,1594,9
786,1887,9
786,2167,9
786,2321,9
786,4177,9
786,5681,9
786,10408,9
786,12355,9
786,12477,9
786,14513,9
786,15809,9
786,18115,9
786,18679,9
786,19703,9
786,20507,9
786,21557,9
786,23755,9
786,25777,9
786,28851,9
786,32729,9
786,32937,9
786,34599,9
786,35838,9
786,39198,9
786,32,8
786,43,8
786,68,8
786,109,8
786,154,8
786,228,8
786,250,8
786,306,8
786,387,8
786,430,8
786,512,8
786,513,8
786,566,8
786,578,8
786,585,8
786,840,8
786,849,8
786,853,8
786,2164,8
786,2759,8
786,2899,8
786,3466,8
786,4896,8
786,7711,8
786,8795,8
786,9253,8
786,9989,8
786,10620,8
786,10721,8
786,12189,8
786,16498,8
786,16662,8
786,16762,8
786,17265,8
786,21603,8
786,23283,8
786,30831,8
786,31240,8
786,31964,8
786,32032,8
786,32681,8
786,33371,8
786,33486,8
786,35240,8
786,35760,8
786,36038,8
786,36884,8
786,36904,8
786,37349,8
786,37520,8
786,37779,8
786,38000,8
786,40456,8
786,47778,8
786,49926,8
786,51019,8
786,52991,8
786,21,7
786,54,7
786,153,7
786,160,7
786,193,7
786,226,7
786,245,7
786,274,7
786,437,7
786,522,7
786,527,7
786,528,7
786,779,7
786,780,7
786,781,7
786,1050,7
786,1117,7
786,1119,7
786,1140,7
786,1233,7
786,1364,7
786,1735,7
786,2000,7
786,2025,7
786,2154,7
786,2251,7
786,2890,7
786,2952,7
786,2969,7
786,3784,7
786,5630,7
786,5680,7
786,7791,7
786,9756,7
786,10029,7
786,19489,7
786,21677,7
786,26243,7
786,30015,7
786,30276,7
786,32281,7
786,32878,7
786,33797,7
786,34712,7
786,35079,7
786,38524,7
786,40060,7
786,43697,7
786,44511,7
786,48505,7
786,48583,7
786,20,6
786,59,6
786,389,6
786,395,6
786,483,6
786,563,6
786,1538,6
786,1571,6
786,1686,6
786,1829,6
786,2107,6
786,2130,6
786,2322,6
786,2746,6
786,2993,6
786,4246,6
786,11757,6
786,36039,6
786,41911,6
786,47,5
786,269,5
786,317,5
786,357,5
786,481,5
786,584,5
786,857,5
786,879,5
786,1118,5
786,1133,5
786,1361,5
786,1535,5
786,1894,5
786,2131,5
786,2404,5
786,4182,5
786,5220,5
786,5671,5
786,13427,5
786,22729,5
786,25519,5
786,32615,5
786,33204,5
786,34542,5
786,40028,5
786,384,4
786,36516,4
786,813,1
786,3287,1
786,12471,1
786,34572,1
786,34776,1
