index,rec_1,rec_2,rec_3,rec_4,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content,rec_5
1426,City Hunter,Cat's Eye,Waga Seishun no Arcadia: Mugen Kidou SSX,Golgo 13 (TV),,,,,,"Aoki, Yuuzou:Director","Nabeshima, Osamu:Episode Director","Takamoto, Yoshihiro:Episode Director","Ogiwara, Rokou:Episode Director",Lupin III: Part III,#2734,#4591,"22,351",3,0,0,"['Aoki, Yuuzou', 'Director'], ['Nabeshima, Osamu', 'Episode Director'], ['Takamoto, Yoshihiro', 'Episode Director'], ['Ogiwara, Rokou', 'Episode Director']","Type, 
TV","Episodes, 
  50","Status, 
  Finished Airing","Aired, 
  Mar 3, 1984 to Dec 25, 1985","Producers, 
Yomiuri Telecasting","Licensors, 
Discotek Media","Studios, 
Tokyo Movie Shinsha","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         ComedyComedy","Theme, 
Adult CastAdult Cast","Demographic, 
SeinenSeinen","Duration, 
  24 min. per ep.","Rating, 
  R+ - Mild Nudity","Prequel:: /anime/1425/Lupin_III__Part_II, Sequel:: /anime/27947/Lupin_III_2015",
506,Hikaru no Go,Kaleido Star,Shoujo Kakumei Utena,Hikari no Densetsu,Candy Candy,Ace wo Nerae! (1979),Skip Beat!,Mai-Otome,Ace wo Nerae!,"Sugii, Gisaburou:Director","Kase, Mitsuko:Episode Director","Tsunoda, Toshitaka:Episode Director","Sakata, Junichi:Episode Director",Glass no Kamen,#2430,#6541,"9,313",4,1,1,"['Sugii, Gisaburou', 'Director'], ['Kase, Mitsuko', 'Episode Director'], ['Tsunoda, Toshitaka', 'Episode Director'], ['Sakata, Junichi', 'Episode Director']","Episodes, 
  23","Status, 
  Finished Airing","Aired, 
  Apr 9, 1984 to Sep 24, 1984","Premiered, 
Spring 1984","Licensors, 
Maiden Japan","Studios, 
Eiken","Source, 
  Manga","Genres, 
DramaDrama,         RomanceRomance","Theme, 
Performing ArtsPerforming Arts","Demographic, 
ShoujoShoujo","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.351 (scored by 27202,720 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/1469/Glass_no_Kamen, Alternative version:: /anime/1974/Glass_no_Kamen_2005",Haikara-san ga Tooru Movie 2: Hana no Tokyo Dai Roman
4503,Kidou Senkan Nadesico,Macross,Shinseiki Evangelion,,,,,,,"Hasegawa, Yasuo:Director","Kojima, Masayuki:Episode Director","Terada, Kenji:Script","Yamada, Katsuhisa:Storyboard",Choujikuu Kidan Southern Cross,#6358,#6878,"8,270",3,1,1,"['Hasegawa, Yasuo', 'Director'], ['Kojima, Masayuki', 'Episode Director'], ['Terada, Kenji', 'Script'], ['Yamada, Katsuhisa', 'Storyboard']","Type, 
TV","Episodes, 
  23","Status, 
  Finished Airing","Aired, 
  Apr 15, 1984 to Sep 30, 1984","Producers, 
Big West,       Harmony Gold","Licensors, 
ADV Films","Studios, 
Tatsunoko Production","Source, 
  Original","Genres, 
ActionAction,         DramaDrama,         Sci-FiSci-Fi","Theme, 
MechaMecha","Duration, 
  23 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
6.571 (scored by 32703,270 users)
      


1
          indicates a weighted score.",,
3081,Ace wo Nerae!,,,,,,,,,"Okuda, Seiji:Episode Director","Inoue, Osamu:Episode Director","Ishikawa, Yasuo:Episode Director","Sonoda, Hideki:Script",Attacker You!,#5180,#7118,"7,531",3,0,0,"['Okuda, Seiji', 'Episode Director'], ['Inoue, Osamu', 'Episode Director'], ['Ishikawa, Yasuo', 'Episode Director'], ['Sonoda, Hideki', 'Script']","Type, 
TV","Episodes, 
  58","Status, 
  Finished Airing","Aired, 
  Apr 13, 1984 to Jun 21, 1985","Producers, 
TV Tokyo,       Shaft,       Kino Production","Licensors, 
    None found, add some","Studios, 
Knack Productions","Source, 
  Manga","Genres, 
RomanceRomance,         SportsSports","Theme, 
Team SportsTeam Sports","Demographic, 
ShoujoShoujo","Duration, 
  23 min. per ep.","Rating, 
  R+ - Mild Nudity","Adaptation:: /manga/1651/Attacker_You, Sequel:: /anime/11919/Zoku_Attacker_You_Kin_Medal_e_no_Michi",
3327,Takarajima,Fushigi no Umi no Nadia,Mirai Shounen Conan,,,,,,,"Yasuhiko, Yoshikazu:Director","Hamatsu, Mamoru:Episode Director","Kashima, Norio:Episode Director","Tsuji, Masaki:Script",Giant Gorg,#2958,#7611,"6,384",3,0,0,"['Yasuhiko, Yoshikazu', 'Director'], ['Hamatsu, Mamoru', 'Episode Director'], ['Kashima, Norio', 'Episode Director'], ['Tsuji, Masaki', 'Script']","Type, 
TV","Episodes, 
  26","Status, 
  Finished Airing","Aired, 
  Apr 5, 1984 to Sep 27, 1984","Producers, 
    None found, add some","Licensors, 
Discotek Media","Studios, 
Sunrise","Source, 
  Original","Genres, 
ActionAction,         AdventureAdventure,         Sci-FiSci-Fi","Theme, 
MechaMecha","Duration, 
  25 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.251 (scored by 13281,328 users)
      


1
          indicates a weighted score.",,
3754,Tanoshii Muumin Ikka,,,,,,,,,"Kasai, Osamu:Director","Satou, Junichi:Episode Director","Kaizawa, Yukio:Episode Director","Nagaoka, Akinori:Episode Director",Tongari Boushi no Memole,#3301,#9778,"3,146",0,1,0,"['Kasai, Osamu', 'Director'], ['Satou, Junichi', 'Episode Director'], ['Kaizawa, Yukio', 'Episode Director'], ['Nagaoka, Akinori', 'Episode Director']","Episodes, 
  50","Status, 
  Finished Airing","Aired, 
  Mar 3, 1984 to Mar 3, 1985","Premiered, 
Spring 1984","Licensors, 
    None found, add some","Studios, 
Toei Animation","Source, 
  Original","Genre, 
FantasyFantasy","Duration, 
  24 min. per ep.","Rating, 
  G - All Ages","Score, 
7.181 (scored by 10691,069 users)
      


1
          indicates a weighted score.","Ranked, 
  #33012

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #9778",Other:: /anime/12657/Tongari_Boushi_no_Memole__Marielle_no_Housekibako,
5250,,,,,,,,,,"Nishimori, Akira:Episode Director","Endou, Tetsuya:Episode Director","Iuchi, Shuji:Episode Director","Hoshiyama, Hiroyuki:Script",God Mazinger,#8311,#10151,"2,766",0,0,0,"['Nishimori, Akira', 'Episode Director'], ['Endou, Tetsuya', 'Episode Director'], ['Iuchi, Shuji', 'Episode Director'], ['Hoshiyama, Hiroyuki', 'Script']","Status, 
  Finished Airing","Aired, 
  Apr 5, 1984 to Oct 23, 1984","Premiered, 
Spring 1984","Broadcast, 
    Unknown","Studios, 
TMS Entertainment","Source, 
  Manga","Genres, 
ActionAction,         FantasyFantasy","Themes, 
MechaMecha,         Time TravelTime Travel","Duration, 
  29 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
6.231 (scored by 724724 users)
      


1
          indicates a weighted score.","Ranked, 
  #83112

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #10151","Adaptation:: /manga/87725/God_Mazinger, Other:: /anime/5658/Great_Mazinger",
6672,,,,,,,,,,"Morishita, Kouzou:Director","Yamauchi, Shigeyasu:Episode Director","Yamayoshi, Yasuo:Episode Director",Oyunamu:Episode Director,Video Senshi Lezarion,#5401,#12221,"1,394",0,0,0,"['Morishita, Kouzou', 'Director'], ['Yamauchi, Shigeyasu', 'Episode Director'], ['Yamayoshi, Yasuo', 'Episode Director'], ['Oyunamu', 'Episode Director']","Type, 
TV","Episodes, 
  45","Status, 
  Finished Airing","Aired, 
  Mar 4, 1984 to Feb 3, 1985","Producers, 
    None found, add some","Licensors, 
Discotek Media","Studios, 
Toei Animation","Source, 
  Unknown","Genres, 
ActionAction,         Sci-FiSci-Fi","Theme, 
MechaMecha","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.751 (scored by 359359 users)
      


1
          indicates a weighted score.",,
3020,,,,,,,,,,"Nitta, Yoshikata:Director","Takayama, Hideki:Episode Director","Nagaoka, Akinori:Episode Director","Szczepanski, Vincent:Script",Gu-Gu Ganmo,#4373,#12526,"1,267",0,0,0,"['Nitta, Yoshikata', 'Director'], ['Takayama, Hideki', 'Episode Director'], ['Nagaoka, Akinori', 'Episode Director'], ['Szczepanski, Vincent', 'Script']","Type, 
TV","Episodes, 
  50","Status, 
  Finished Airing","Aired, 
  Mar 18, 1984 to Mar 17, 1985","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Toei Animation","Source, 
  Manga","Genres, 
ComedyComedy,         Slice of LifeSlice of Life","Theme, 
SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  25 min. per ep.","Rating, 
  G - All Ages",Alternative version:: /anime/19751/Gu-Gu_Ganmo_Movie,
3723,Fushigi na Koala Blinky,,,,,,,,,"Ishiguro, Megumu:Director","Yamada, Katsuhisa:Storyboard","D'Avena, Cristina:Theme Song Performance","Valeri Manera, Alessandra:Theme Song Lyrics",Koala Boy Kokki,#8125,#13343,997,0,0,0,"['Ishiguro, Megumu', 'Director'], ['Yamada, Katsuhisa', 'Storyboard'], [""D'Avena, Cristina"", 'Theme Song Performance'], ['Valeri Manera, Alessandra', 'Theme Song Lyrics']","Type, 
TV","Episodes, 
  26","Status, 
  Finished Airing","Aired, 
  Apr 11, 1984 to Mar 28, 1985","Producers, 
Tohokushinsha Film Corporation","Licensors, 
    None found, add some","Studios, 
Topcraft","Source, 
  Original","Genre, 
ComedyComedy","Duration, 
  25 min. per ep.","Rating, 
  G - All Ages","Score, 
6.261 (scored by 337337 users)
      


1
          indicates a weighted score.","Ranked, 
  #81252

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",,
