index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content,rec_6
2229,Dragon Ball,Slayers,Fairy Tail,Lodoss-tou Senki,Magic Knight Rayearth,,,,,"Kakudou, Hiroyuki:Episode Director","Kasai, Osamu:Episode Director","Shibata, Hiroki:Episode Director","Yabe, Akinori:Episode Director",Dragon Quest: Dai no Daibouken (TV),#1574,#4465,"24,022",3,0,0,"['Kakudou, Hiroyuki', 'Episode Director'], ['Kasai, Osamu', 'Episode Director'], ['Shibata, Hiroki', 'Episode Director'], ['Yabe, Akinori', 'Episode Director']","Episodes, 
  46","Status, 
  Finished Airing","Aired, 
  Oct 17, 1991 to Sep 24, 1992","Premiered, 
Fall 1991","Licensors, 
    None found, add some","Studios, 
Toei Animation","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  G - All Ages","Score, 
7.571 (scored by 1096310,963 users)
      


1
          indicates a weighted score.","Ranked, 
  #15742

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/871/Dragon_Quest__Dai_no_Daibouken, Prequel:: /anime/2819/Dragon_Quest__Yuusha_Abel_Densetsu, Side story:: /anime/7364/Dragon_Quest__Dai_no_Daibouken_Buchiyabure_Shinsei_6_Daishougun, Alternative version:: /anime/7435/Dragon_Quest__Dai_no_Daibouken, Other:: /anime/39274/Dragon_Quest__Your_Story",
5712,,,,,,,,,,"Kanda, Takeyuki:Director","Chiba, Shigeru:Sound Director","Shiba, Shigeharu:Sound Director","Fukuta, Jun:Episode Director",Tanoshii Muumin Ikka Bouken Nikki,#1879,#7420,"6,799",0,1,1,"['Kanda, Takeyuki', 'Director'], ['Chiba, Shigeru', 'Sound Director'], ['Shiba, Shigeharu', 'Sound Director'], ['Fukuta, Jun', 'Episode Director']","Episodes, 
  26","Status, 
  Finished Airing","Aired, 
  Oct 10, 1991 to Mar 26, 1992","Premiered, 
Fall 1991","Licensors, 
    None found, add some","Studios, 
Telescreen","Source, 
  Book","Genres, 
AdventureAdventure,         FantasyFantasy,         Slice of LifeSlice of Life","Demographic, 
KidsKids","Duration, 
  25 min. per ep.","Rating, 
  G - All Ages","Score, 
7.481 (scored by 29512,951 users)
      


1
          indicates a weighted score.","Ranked, 
  #18792

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Prequel:: /anime/2150/Tanoshii_Muumin_Ikka, Side story:: /anime/2313/Muumindani_no_Suisei",
970,Souten Kouro,Koutetsu Sangokushi,Ginga Eiyuu Densetsu,Souryuuden,Saikyou Bushouden: Sangoku Engi,,,,,"Yano, Hiroyuki:Producer","Okuda, Seiji:Director","Honda, Yasunori:Sound Director","Iijima, Masakatsu:Episode Director",Yokoyama Mitsuteru Sangokushi,#2507,#7635,"6,330",2,1,0,"['Yano, Hiroyuki', 'Producer'], ['Okuda, Seiji', 'Director'], ['Honda, Yasunori', 'Sound Director'], ['Iijima, Masakatsu', 'Episode Director']","Episodes, 
  47","Status, 
  Finished Airing","Aired, 
  Oct 18, 1991 to Sep 25, 1992","Premiered, 
Fall 1991","Licensors, 
    None found, add some","Studios, 
Azeta Pictures","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure","Theme, 
HistoricalHistorical","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.341 (scored by 22952,295 users)
      


1
          indicates a weighted score.","Ranked, 
  #25072

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/3483/Sangokushi, Alternative version:: /anime/7696/Sangokushi__Dai_Ichi_Bu_-_Eiyuu-tachi_no_Yoake",
2228,Eyeshield 21,,,,,,,,,"Sasagawa, Hiroshi:Director","Kagawa, Yutaka:Director","Iwasaki, Yoshiaki:Episode Director","Tsuda, Yoshizou:Episode Director",Honoo no Toukyuuji: Dodge Danpei,#2365,#8193,"5,362",1,0,0,"['Sasagawa, Hiroshi', 'Director'], ['Kagawa, Yutaka', 'Director'], ['Iwasaki, Yoshiaki', 'Episode Director'], ['Tsuda, Yoshizou', 'Episode Director']","Episodes, 
  47","Status, 
  Finished Airing","Aired, 
  Oct 14, 1991 to Sep 21, 1992","Premiered, 
Fall 1991","Licensors, 
    None found, add some","Studios, 
Animation 21","Source, 
  Manga","Genres, 
ComedyComedy,         SportsSports","Themes, 
SchoolSchool,         Team SportsTeam Sports","Demographic, 
KidsKids","Duration, 
  25 min. per ep.","Rating, 
  PG - Children","Score, 
7.371 (scored by 28572,857 users)
      


1
          indicates a weighted score.",Adaptation:: /manga/8600/Honoo_no_Toukyuuji__Dodge_Danpei,
3438,Captain Tsubasa,,,,,,,,,"Kosao, Shunichi:Producer","Yasumura, Ryou:Director","Yamada, Etsuji:Sound Director","Ishidou, Hiroyuki:Episode Director",Moero! Top Striker,#5668,#8721,"4,527",0,0,0,"['Kosao, Shunichi', 'Producer'], ['Yasumura, Ryou', 'Director'], ['Yamada, Etsuji', 'Sound Director'], ['Ishidou, Hiroyuki', 'Episode Director']","Type, 
TV","Episodes, 
  49","Status, 
  Finished Airing","Aired, 
  Oct 10, 1991 to Sep 24, 1992","Producers, 
Fuji TV","Licensors, 
    None found, add some","Studios, 
Nippon Animation","Source, 
  Original","Genre, 
SportsSports","Theme, 
Team SportsTeam Sports","Duration, 
  24 min. per ep.","Rating, 
  G - All Ages","Score, 
6.701 (scored by 22922,292 users)
      


1
          indicates a weighted score.",,
3281,Hokuto no Ken 2,,,,,,,,,"Shirato, Takeshi:Director","Umezawa, Atsutoshi:Director","Kaneko, Shingo:Episode Director","Fuji, Mineo:Episode Director",Kinnikuman: Kinnikusei Oui Soudatsu-hen,#3548,#9131,"3,896",1,0,0,"['Shirato, Takeshi', 'Director'], ['Umezawa, Atsutoshi', 'Director'], ['Kaneko, Shingo', 'Episode Director'], ['Fuji, Mineo', 'Episode Director']","Episodes, 
  46","Status, 
  Finished Airing","Aired, 
  Oct 6, 1991 to Sep 27, 1992","Premiered, 
Fall 1991","Licensors, 
    None found, add some","Studios, 
Toei Animation","Source, 
  Manga","Genres, 
ComedyComedy,         SportsSports","Theme, 
Combat SportsCombat Sports","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.141 (scored by 13491,349 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/2845/Kinnikuman, Prequel:: /anime/3272/Kinnikuman, Sequel:: /anime/54730/Kinnikuman__Kanpeki_Chоujin_Shiso-hen",
5953,,,,,,,,,,"Yuyama, Kunihiko:Director","Abe, Masashi:Episode Director","Kato, Takao:Episode Director","Fujimoto, Yoshitaka:Episode Director",Mahou no Princess Minky Momo: Yume wo Dakishimete,#2076,#9189,"3,819",0,0,0,"['Yuyama, Kunihiko', 'Director'], ['Abe, Masashi', 'Episode Director'], ['Kato, Takao', 'Episode Director'], ['Fujimoto, Yoshitaka', 'Episode Director']","Type, 
TV","Episodes, 
  62","Status, 
  Finished Airing","Aired, 
  Oct 2, 1991 to Dec 23, 1992","Producers, 
Yomiko Advertising,       Nippon Television Network","Licensors, 
    None found, add some","Studios, 
Ashi Productions","Source, 
  Original","Theme, 
Mahou ShoujoMahou Shoujo","Duration, 
  24 min. per ep.","Rating, 
  G - All Ages","Score, 
7.431 (scored by 12771,277 users)
      


1
          indicates a weighted score.","Ranked, 
  #20762

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Alternative version:: /anime/518/Mahou_no_Princess_Minky_Momo, Side story:: /anime/6492/Minky_Momo_in_Tabidachi_no_Eki",
8215,Tobe! Isami,Mashin Eiyuuden Wataru,,,,,,,,"Sakurai, Hiroaki:Episode Director","Tsuji, Hatsuki:Episode Director","Komura, Toshiaki:Episode Director","Tomita, Sukehiro:Script",Genji Tsuushin Agedama,#2098,#11330,"1,910",0,0,0,"['Sakurai, Hiroaki', 'Episode Director'], ['Tsuji, Hatsuki', 'Episode Director'], ['Komura, Toshiaki', 'Episode Director'], ['Tomita, Sukehiro', 'Script']","Episodes, 
  51","Status, 
  Finished Airing","Aired, 
  Oct 4, 1991 to Sep 25, 1992","Premiered, 
Fall 1991","Licensors, 
    None found, add some","Studios, 
Gallop","Source, 
  Original","Genres, 
ActionAction,         ComedyComedy,         Sci-FiSci-Fi","Theme, 
ParodyParody","Duration, 
  25 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
7.431 (scored by 430430 users)
      


1
          indicates a weighted score.","Ranked, 
  #20982

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",,
3691,,,,,,,,,,"Kodama, Kenji:Director","Yamada, Etsuji:Sound Director","Tomobuki, Ami:Episode Director","Yamamoto, Yasuichiro:Episode Director",Watashi to Watashi: Futari no Lotte,#4057,#11820,"1,602",1,0,0,"['Kodama, Kenji', 'Director'], ['Yamada, Etsuji', 'Sound Director'], ['Tomobuki, Ami', 'Episode Director'], ['Yamamoto, Yasuichiro', 'Episode Director']","Type, 
TV","Episodes, 
  29","Status, 
  Finished Airing","Aired, 
  Nov 9, 1991 to Sep 5, 1992","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Tokyo Movie Shinsha","Source, 
  Novel","Genre, 
Slice of LifeSlice of Life","Duration, 
  24 min. per ep.","Rating, 
  G - All Ages","Score, 
7.041 (scored by 318318 users)
      


1
          indicates a weighted score.","Ranked, 
  #40572

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",,
6674,,,,,,,,,,"Kodama, Kenji:Director","Ooga, Shunji:Director","Terada, Kenji:Storyboard","Himaki, Yuji:Storyboard",Reporter Blues,#7013,#12536,"1,263",0,0,0,"['Kodama, Kenji', 'Director'], ['Ooga, Shunji', 'Director'], ['Terada, Kenji', 'Storyboard'], ['Himaki, Yuji', 'Storyboard']","Episodes, 
  52","Status, 
  Finished Airing","Aired, 
  Oct 3, 1991 to Nov 8, 1991","Premiered, 
Fall 1991","Licensors, 
    None found, add some","Studios, 
TMS Entertainment","Source, 
  Original","Genres, 
ComedyComedy,         MysteryMystery","Duration, 
  22 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.461 (scored by 262262 users)
      


1
          indicates a weighted score.","Ranked, 
  #70132

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #12536",,
