index,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content,rec_1
3676,,,,,,,,,,"Shimizu, Katsunori:Sound Director","Urata, Yasunori:Episode Director","Hirano, Yasushi:Script","Okawa, Toshimichi:Script",Machine Robo: Cronos no Dai Gyakushuu,#7606,#10810,"2,256",0,0,0,"['Shimizu, Katsunori', 'Sound Director'], ['Urata, Yasunori', 'Episode Director'], ['Hirano, Yasushi', 'Script'], ['Okawa, Toshimichi', 'Script']","Type, 
TV","Episodes, 
  47","Status, 
  Finished Airing","Aired, 
  Jul 3, 1986 to May 28, 1987","Producers, 
    None found, add some","Licensors, 
Central Park Media,       Discotek Media","Studios, 
Ashi Productions","Source, 
  Original","Genres, 
ActionAction,         Sci-FiSci-Fi","Themes, 
Martial ArtsMartial Arts,         MechaMecha,         SpaceSpace","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.351 (scored by 438438 users)
      


1
          indicates a weighted score.","Spin-off:: /anime/3098/Shutsugeki_Machine_Robo_Rescue, Sequel:: /anime/6577/Machine_Robo__Leina_The_Legend_of_Wolf_Blade",
2147,Amon: Devilman Mokushiroku,Kiseijuu: Sei no Kakuritsu,Genocyber,Pupa,Warau Hyouteki,,,,,"Miura, Tooru:Producer","Okamoto, Tatsuya:Director","Yamada, Etsuji:Sound Director","Yamanaka, Norimasa:Theme Song Arrangement",Call Me Tonight,#12088,#5939,"11,735",9,6,0,"['Miura, Tooru', 'Producer'], ['Okamoto, Tatsuya', 'Director'], ['Yamada, Etsuji', 'Sound Director'], ['Yamanaka, Norimasa', 'Theme Song Arrangement']","Type, 
OVA","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Jul 28, 1986","Studios, 
AIC","Source, 
  Original","Genres, 
ComedyComedy,         HorrorHorror,         RomanceRomance,         Sci-FiSci-Fi","Theme, 
GoreGore","Duration, 
  29 min.","Rating, 
  R+ - Mild Nudity","Score, 
5.271 (scored by 59575,957 users)
      


1
          indicates a weighted score.","Ranked, 
  #120882

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #5939",Other:: /anime/1927/Gakuen_Tokusou_Hikaruon,California Crisis: Tsuigeki no Juuka
3127,Call Me Tonight,Shirobako Specials,Megazone 23,Black Lagoon,Golgo 13,Tomoe ga Yuku!,Riding Bean,Magical★Taruruuto-kun,Burning Blood,"Nishikubo, Mizuho:Director","Watanabe, Jun:Sound Director","Matsuura, Noriyoshi:Sound Director","Fujiwara, Miho:Theme Song Performance",California Crisis: Tsuigeki no Juuka,#11025,#7308,"7,026",6,5,1,"['Nishikubo, Mizuho', 'Director'], ['Watanabe, Jun', 'Sound Director'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Fujiwara, Miho', 'Theme Song Performance']","Type, 
OVA","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Jul 21, 1986","Studios, 
Studio Unicorn,       Hiro Media","Source, 
  Original","Genres, 
ActionAction,         AdventureAdventure,         Sci-FiSci-Fi","Duration, 
  45 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
5.631 (scored by 31693,169 users)
      


1
          indicates a weighted score.","Ranked, 
  #110252

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #7308","Members, 
    7,026",,Shounen Kenya
2249,Hajimari no Boukensha-tachi: Legend of Crystania,Eiyuu Gaiden Mozaicka,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,,,,,,,"Ooga, Shunji:Director","Sugimoto, Yuuri:Theme Song Performance","Amano, Yoshitaka:Original Creator","Araki, Shingo:Character Design",Amon Saga,#11662,#7713,"6,174",2,0,2,"['Ooga, Shunji', 'Director'], ['Sugimoto, Yuuri', 'Theme Song Performance'], ['Amano, Yoshitaka', 'Original Creator'], ['Araki, Shingo', 'Character Design']","Status, 
  Finished Airing","Aired, 
  Jul 19, 1986","Producers, 
Toei Video,       Tohokushinsha Film Corporation","Licensors, 
Manga Entertainment","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Duration, 
  1 hr. 14 min.","Rating, 
  R - 17+ (violence & profanity)","Score, 
5.431 (scored by 24682,468 users)
      


1
          indicates a weighted score.","Ranked, 
  #116622

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #7713","Members, 
    6,174","Favorites, 
  1",Main,,Shuranosuke Zanmaken: Shikamamon no Otoko
2463,Tokyo Revengers,Ogami Matsugorou,Kyou kara Ore wa!!,,,,,,,"Nishizawa, Nobutaka:Director","Sasaki, Noriyo:Director","Kageyama, Hironobu:Theme Song Performance",Mr.Children:Theme Song Arrangement,Shounan Bakusouzoku,#1987,#8620,"4,674",3,0,0,"['Nishizawa, Nobutaka', 'Director'], ['Sasaki, Noriyo', 'Director'], ['Kageyama, Hironobu', 'Theme Song Performance'], ['Mr.Children', 'Theme Song Arrangement']","Episodes, 
  12","Status, 
  Finished Airing","Aired, 
  Sep 10, 1986 to Mar 12, 1999","Producers, 
    None found, add some","Source, 
  Manga","Genres, 
ActionAction,         ComedyComedy","Theme, 
DelinquentsDelinquents","Demographic, 
ShounenShounen","Duration, 
  53 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
7.461 (scored by 790790 users)
      


1
          indicates a weighted score.","Ranked, 
  #19872

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #8620",Adaptation:: /manga/36133/Shonan_Bakusouzoku,Be-Bop Highschool
2584,,,,,,,,,,"Takahashi, Ryousuke:Director","Urakami, Yasuo:Sound Director","Takizawa, Toshifumi:Episode Director","Inui, Hiroki:Theme Song Composition",Soukou Kihei Votoms: Big Battle,#5735,#9230,"3,771",2,1,1,"['Takahashi, Ryousuke', 'Director'], ['Urakami, Yasuo', 'Sound Director'], ['Takizawa, Toshifumi', 'Episode Director'], ['Inui, Hiroki', 'Theme Song Composition']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Jul 5, 1986","Producers, 
    None found, add some","Source, 
  Original","Genres, 
ActionAction,         DramaDrama,         Sci-FiSci-Fi","Themes, 
MechaMecha,         MilitaryMilitary","Duration, 
  1 hr.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.691 (scored by 17411,741 users)
      


1
          indicates a weighted score.","Ranked, 
  #57352

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #9230","Members, 
    3,771",Parent story:: /anime/2582/Soukou_Kihei_Votoms,
2250,Hell Target,,,,,,,,,"Matsuura, Noriyoshi:Sound Director","Endou, Katsumi:Storyboard","Koujina, Hiroshi:Key Animation","Shimada, Michiru:Screenplay",Roots Search: Shokushin Buttai X,#13102,#9298,"3,675",0,1,1,"['Matsuura, Noriyoshi', 'Sound Director'], ['Endou, Katsumi', 'Storyboard'], ['Koujina, Hiroshi', 'Key Animation'], ['Shimada, Michiru', 'Screenplay']","Type, 
OVA","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Sep 10, 1986","Studios, 
Production Wave","Source, 
  Original","Genres, 
HorrorHorror,         Sci-FiSci-Fi","Theme, 
SpaceSpace","Duration, 
  43 min.","Rating, 
  R+ - Mild Nudity","Score, 
4.181 (scored by 16211,621 users)
      


1
          indicates a weighted score.","Ranked, 
  #131022

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #9298",,Lily C.A.T.
4150,Yousei Hime Ren,Project A-Ko,Musekinin Kanchou Tylor,Elf 17,,,,,,"Hasegawa, Yasuo:Director","Shudou, Takeshi:Script","Kawai, Kenji:Theme Song Arrangement","Sakamoto, Chika:Theme Song Performance",Cosmos Pink Shock,#11028,#9804,"3,115",2,1,1,"['Hasegawa, Yasuo', 'Director'], ['Shudou, Takeshi', 'Script'], ['Kawai, Kenji', 'Theme Song Arrangement'], ['Sakamoto, Chika', 'Theme Song Performance']","Status, 
  Finished Airing","Aired, 
  Jul 21, 1986","Producers, 
Victor Entertainment","Licensors, 
    None found, add some","Genres, 
ComedyComedy,         Sci-FiSci-Fi","Themes, 
ParodyParody,         SpaceSpace","Duration, 
  35 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
5.631 (scored by 14721,472 users)
      


1
          indicates a weighted score.","Ranked, 
  #110282

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #9804","Members, 
    3,115","Favorites, 
  6",,Dragon Half
8889,Tenkuu Danzai Skelter+Heaven,,,,,,,,,"Kobayashi, Osamu:Director","Nakata, Reiko:Script","Ogasawara, Hiroshi:Theme Song Composition","Takahashi, Miki:Theme Song Performance",Majo demo Steady,#12757,#10506,"2,481",4,1,2,"['Kobayashi, Osamu', 'Director'], ['Nakata, Reiko', 'Script'], ['Ogasawara, Hiroshi', 'Theme Song Composition'], ['Takahashi, Miki', 'Theme Song Performance']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Sep 5, 1986","Producers, 
    None found, add some","Source, 
  Light novel","Genres, 
ComedyComedy,         RomanceRomance,         EcchiEcchi","Duration, 
  41 min.","Rating, 
  R+ - Mild Nudity","Score, 
4.811 (scored by 10501,050 users)
      


1
          indicates a weighted score.","Ranked, 
  #127572

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #10506","Members, 
    2,481","Favorites, 
  3",,Ryokunohara Labyrinth: Sparkling Phantom
3064,Aoki Honoo,Shin Karate Jigoku-hen,Ousama Game The Animation,Mad★Bull 34,,,,,,"Takeuchi, Yoshio:Director","Araki, Toyohisa:Theme Song Lyrics","Maruyama, Masao:Setting","Ikegami, Ryouichi:Original Character Design",Kizuoibito,#13115,#10695,"2,349",0,1,2,"['Takeuchi, Yoshio', 'Director'], ['Araki, Toyohisa', 'Theme Song Lyrics'], ['Maruyama, Masao', 'Setting'], ['Ikegami, Ryouichi', 'Original Character Design']","Episodes, 
  5","Status, 
  Finished Airing","Aired, 
  Jul 5, 1986 to Aug 25, 1988","Producers, 
    None found, add some","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         SuspenseSuspense","Demographic, 
SeinenSeinen","Duration, 
  35 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
4.101 (scored by 784784 users)
      


1
          indicates a weighted score.","Ranked, 
  #131152

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #10695","Members, 
    2,349",Adaptation:: /manga/3978/Kizuoibito,Crying Freeman
5755,,,,,,,,,,"Takahashi, Ryousuke:Director","Yatabe, Katsuyoshi:Episode Director","Kase, Mitsuko:Episode Director","Imanishi, Takashi:Episode Director",Aoki Ryuusei SPT Layzner OVA,#5368,#10843,"2,236",0,1,0,"['Takahashi, Ryousuke', 'Director'], ['Yatabe, Katsuyoshi', 'Episode Director'], ['Kase, Mitsuko', 'Episode Director'], ['Imanishi, Takashi', 'Episode Director']","Episodes, 
  3","Status, 
  Finished Airing","Aired, 
  Aug 21, 1986 to Oct 21, 1986","Producers, 
    None found, add some","Source, 
  Unknown","Genres, 
ActionAction,         Sci-FiSci-Fi","Themes, 
MechaMecha,         MilitaryMilitary,         SpaceSpace","Duration, 
  55 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.751 (scored by 780780 users)
      


1
          indicates a weighted score.","Ranked, 
  #53682

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #10843","Members, 
    2,236",Alternative version:: /anime/3079/Aoki_Ryuusei_SPT_Layzner,
3480,,,,,,,,,,"Hata, Masami:Director","Matsuura, Noriyoshi:Sound Director","Kisugi, Takao:Theme Song Composition","Sugino, Akio:Character Design",Nayuta,#11506,#11007,"2,117",3,0,2,"['Hata, Masami', 'Director'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Kisugi, Takao', 'Theme Song Composition'], ['Sugino, Akio', 'Character Design']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Jul 31, 1986","Producers, 
OB Planning","Source, 
  Manga","Genres, 
ActionAction,         Sci-FiSci-Fi","Demographic, 
ShoujoShoujo","Duration, 
  1 hr. 19 min.","Rating, 
  R+ - Mild Nudity","Score, 
5.491 (scored by 701701 users)
      


1
          indicates a weighted score.","Ranked, 
  #115062

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #11007","Members, 
    2,117",Adaptation:: /manga/92731/Nayuta,
7192,Kindan no Mokushiroku: Crystal Triangle,,,,,,,,,"Okuda, Seiji:Director","Ikehata, Takashi:Episode Director","Taniguchi, Moriyasu:Animation Director","Katsumata, Geki:Art Director",Choujikuu Romanesque Samy: Missing 99,#12677,#11236,"1,971",0,0,3,"['Okuda, Seiji', 'Director'], ['Ikehata, Takashi', 'Episode Director'], ['Taniguchi, Moriyasu', 'Animation Director'], ['Katsumata, Geki', 'Art Director']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Jul 5, 1986","Producers, 
Project Team Eikyuu Kikan","Source, 
  Original","Genres, 
ActionAction,         Sci-FiSci-Fi","Duration, 
  58 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
4.891 (scored by 751751 users)
      


1
          indicates a weighted score.","Ranked, 
  #126772

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #11236","Members, 
    1,971","Favorites, 
  3",,Alice in Cyberland
3553,,,,,,,,,,"Uchida, Yorihisa:Director","Hirano, Toshiki:Character Design","Yamasaki, Osamu:Key Animation","Higashi, Junichi:Art Director",Reyon Densetsu Flair,N/A,#11371,"1,874",0,0,0,"['Uchida, Yorihisa', 'Director'], ['Hirano, Toshiki', 'Character Design'], ['Yamasaki, Osamu', 'Key Animation'], ['Higashi, Junichi', 'Art Director']","Episodes, 
  2","Status, 
  Finished Airing","Aired, 
  Jul 14, 1986 to Apr 21, 1990","Producers, 
AIC","Source, 
  Unknown","Genres, 
ActionAction,         FantasyFantasy,         HentaiHentai","Theme, 
MythologyMythology","Duration, 
  28 min. per ep.","Rating, 
  Rx - Hentai","Score, 
5.021 (scored by 622622 users)
      


1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #11371","Members, 
    1,874",Other:: /anime/5159/Shin_Reyon_Densetsu__Shikkoku_no_Majin,Choujin Densetsu Urotsukidouji
11537,,,,,,,,,,,,,,Yamatarou Kaeru,#8194,#12560,"1,250",0,0,1,,"Type, 
OVA","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Aug 15, 1986","Studios, 
Tezuka Productions","Source, 
  Manga","Demographic, 
KidsKids","Duration, 
  24 min.","Rating, 
  G - All Ages","Score, 
6.251 (scored by 639639 users)
      


1
          indicates a weighted score.","Ranked, 
  #81942

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #12560","Members, 
    1,250","Adaptation:: /manga/27741/Tiger_Books, Other:: /anime/6462/Amefuri_Kozou",Titipo Titipo
8443,,,,,,,,,,"Annou, Takashi:Director","Fujiyama, Fusanobu:Sound Director","Arai, Kiyoko:Original Creator","Asamiya, Kia:Key Animation",Mahou no Star Magical Emi: Semishigure,#8108,#13016,"1,092",0,0,0,"['Annou, Takashi', 'Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Arai, Kiyoko', 'Original Creator'], ['Asamiya, Kia', 'Key Animation']","Status, 
  Finished Airing","Aired, 
  Sep 21, 1986","Producers, 
    None found, add some","Licensors, 
    None found, add some","Genre, 
ComedyComedy","Theme, 
Mahou ShoujoMahou Shoujo","Duration, 
  1 hr.","Rating, 
  PG - Children","Score, 
6.271 (scored by 299299 users)
      


1
          indicates a weighted score.","Ranked, 
  #81082

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #13016","Members, 
    1,092","Favorites, 
  2",Prequel:: /anime/2038/Mahou_no_Star_Magical_Emi,
513,Howl no Ugoku Shiro,Mirai Shounen Conan,Last Exile,Sakasama no Patema,Lupin III: Cagliostro no Shiro,Kaze no Tani no Nausicaä,Fushigi no Umi no Nadia,Steamboy,Fractale,"Takahata, Isao:Producer","Miyazaki, Hayao:Director","Shiba, Shigeharu:Sound Director","Hisaishi, Joe:Music",Tenkuu no Shiro Laputa,#301,#458,"485,527",61,4,2,"['Takahata, Isao', 'Producer'], ['Miyazaki, Hayao', 'Director'], ['Shiba, Shigeharu', 'Sound Director'], ['Hisaishi, Joe', 'Music']","Type, 
Movie","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Aug 2, 1986","Studios, 
Studio Ghibli","Source, 
  Original","Genres, 
AdventureAdventure,         Award WinningAward Winning,         FantasyFantasy,         RomanceRomance,         Sci-FiSci-Fi","Duration, 
  2 hr. 4 min.","Rating, 
  PG - Children","Score, 
8.261 (scored by 304507304,507 users)
      


1
          indicates a weighted score.","Ranked, 
  #3012

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #458","Members, 
    485,527",Adaptation:: /manga/76407/Tenkuu_no_Shiro_Laputa,Hoshi wo Ou Kodomo
1130,Mononoke Hime,Chirin no Suzu,Kidou Senshi Gundam: Dai 08 MS Shoutai,Akame ga Kill!,,,,,,"Macek, Carl:Producer","Yuyama, Kunihiko:Director","Watanabe, Jun:Sound Director","Matsuura, Noriyoshi:Sound Director",Windaria,#6830,#6414,"9,733",4,1,2,"['Macek, Carl', 'Producer'], ['Yuyama, Kunihiko', 'Director'], ['Watanabe, Jun', 'Sound Director'], ['Matsuura, Noriyoshi', 'Sound Director']","Type, 
Movie","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Jul 19, 1986","Studios, 
Kaname Productions,       Idol","Source, 
  Original","Genres, 
ActionAction,         DramaDrama,         FantasyFantasy,         RomanceRomance,         Sci-FiSci-Fi","Duration, 
  1 hr. 40 min.","Rating, 
  R+ - Mild Nudity","Score, 
6.491 (scored by 39523,952 users)
      


1
          indicates a weighted score.","Ranked, 
  #68302

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #6414","Members, 
    9,733",,Mahou Shoujo Madoka★Magica
