index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content,rec_7
2254,Overman King Gainer,Gun x Sword,Muteki Koujin Daitarn 3,Tengen Toppa Gurren Lagann,Mirai Shounen Conan,Kidou Shinseiki Gundam X,,,,"Tomino, Yoshiyuki:Director","Imagawa, Yasuhiro:Episode Director","Kase, Mitsuko:Episode Director","Takizawa, Toshifumi:Episode Director",Sentou Mecha Xabungle,#3565,#8042,"5,604",4,0,0,"['Tomino, Yoshiyuki', 'Director'], ['Imagawa, Yasuhiro', 'Episode Director'], ['Kase, Mitsuko', 'Episode Director'], ['Takizawa, Toshifumi', 'Episode Director']","Episodes, 
  50","Status, 
  Finished Airing","Aired, 
  Feb 6, 1982 to Jan 29, 1983","Premiered, 
Winter 1982","Licensors, 
Maiden Japan","Studios, 
Sunrise","Source, 
  Original","Genres, 
ActionAction,         Sci-FiSci-Fi","Themes, 
MechaMecha,         MilitaryMilitary","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.141 (scored by 12341,234 users)
      


1
          indicates a weighted score.","Ranked, 
  #35652

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Summary:: /anime/5303/Xabungle_Graffiti,
2573,,,,,,,,,,"Saitou, Hiroshi:Director","Miyazaki, Akira:Script","Szczepanski, Vincent:Script","Kusuba, Kouzou:Storyboard",Minami no Niji no Lucy,#3580,#10178,"2,749",0,0,0,"['Saitou, Hiroshi', 'Director'], ['Miyazaki, Akira', 'Script'], ['Szczepanski, Vincent', 'Script'], ['Kusuba, Kouzou', 'Storyboard']","Type, 
TV","Episodes, 
  50","Status, 
  Finished Airing","Aired, 
  Jan 10, 1982 to Dec 26, 1982","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Nippon Animation","Source, 
  Novel","Genres, 
AdventureAdventure,         Slice of LifeSlice of Life","Duration, 
  25 min. per ep.","Rating, 
  G - All Ages","Score, 
7.131 (scored by 815815 users)
      


1
          indicates a weighted score.","Ranked, 
  #35802

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Summary:: /anime/25071/Minami_no_Niji_no_Lucy_Specials,
8011,,,,,,,,,,"Ueda, Hidehito:Episode Director","Kogawa, Yoriyasu:Episode Director","Oshii, Mamoru:Storyboard","Yamamoto, Masayuki:Theme Song Performance",Time Bokan Series: Gyakuten Ippatsuman,#9853,#12552,"1,256",0,0,0,"['Ueda, Hidehito', 'Episode Director'], ['Kogawa, Yoriyasu', 'Episode Director'], ['Oshii, Mamoru', 'Storyboard'], ['Yamamoto, Masayuki', 'Theme Song Performance']","Episodes, 
  58","Status, 
  Finished Airing","Aired, 
  Feb 13, 1982 to Mar 26, 1983","Premiered, 
Winter 1982","Licensors, 
    None found, add some","Studios, 
Tatsunoko Production","Source, 
  Unknown","Genres, 
ActionAction,         ComedyComedy,         Sci-FiSci-Fi","Theme, 
MechaMecha","Duration, 
  24 min. per ep.","Rating, 
  PG-13 - Teens 13 or older","Score, 
5.911 (scored by 276276 users)
      


1
          indicates a weighted score.","Ranked, 
  #98532

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Alternative setting:: /anime/3915/Time_Bokan,
6629,Di Gi Charat,Crayon Shin-chan,,,,,,,,"Kasai, Osamu:Episode Director","Endou, Yuuji:Episode Director",Koorogi '73:Theme Song Performance,"Ito, Michihiro:Sound Effects",Asari-chan,#7530,#13146,"1,050",0,0,0,"['Kasai, Osamu', 'Episode Director'], ['Endou, Yuuji', 'Episode Director'], [""Koorogi '73"", 'Theme Song Performance'], ['Ito, Michihiro', 'Sound Effects']","Episodes, 
  54","Status, 
  Finished Airing","Aired, 
  Jan 25, 1982 to Feb 28, 1983","Premiered, 
Winter 1982","Licensors, 
    None found, add some","Studios, 
Toei Animation","Source, 
  Manga","Genres, 
ComedyComedy,         Slice of LifeSlice of Life","Demographic, 
ShoujoShoujo","Duration, 
  24 min. per ep.","Rating, 
  G - All Ages","Score, 
6.371 (scored by 319319 users)
      


1
          indicates a weighted score.","Ranked, 
  #75302

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/16453/Asari-chan, Sequel:: /anime/6630/Asari-chan__Ai_no_Marchen_Shoujo",
23973,,,,,,,,,,"Fuji, Mineo:Director","Sakamoto, Chika:Theme Song Performance",Koorogi '73:Theme Song Performance,Columbia Yurikago Kai:Theme Song Performance,Fuku-chan,#19478,#16717,426,0,0,0,"['Fuji, Mineo', 'Director'], ['Sakamoto, Chika', 'Theme Song Performance'], [""Koorogi '73"", 'Theme Song Performance'], ['Columbia Yurikago Kai', 'Theme Song Performance']","Status, 
  Finished Airing","Aired, 
  Feb 11, 1982 to Mar 27, 1984","Premiered, 
Winter 1982","Broadcast, 
    Unknown","Studios, 
Shin-Ei Animation","Source, 
  Other","Genre, 
Slice of LifeSlice of Life","Demographic, 
KidsKids","Duration, 
  25 min. per ep.","Rating, 
  PG - Children","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  #194782

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #16717",Alternative setting:: /anime/7523/Fuku-chan_no_Sensuikan,
1092,Macross: Do You Remember Love?,Evangelion Movie 3: Q,,,,,,,,"Maseba, Yutaka:Producer","Yatate, Hajime:Producer","Ueda, Masuo:Producer","Tomino, Yoshiyuki:Director",Kidou Senshi Gundam III: Meguriai Sora-hen,#1110,#3745,"34,789",9,1,1,"['Maseba, Yutaka', 'Producer'], ['Yatate, Hajime', 'Producer'], ['Ueda, Masuo', 'Producer'], ['Tomino, Yoshiyuki', 'Director']","Type, 
Movie","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 13, 1982","Studios, 
Sunrise","Source, 
  Original","Genres, 
ActionAction,         AdventureAdventure,         DramaDrama,         Sci-FiSci-Fi","Themes, 
MechaMecha,         MilitaryMilitary,         SpaceSpace","Duration, 
  2 hr. 20 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.741 (scored by 2059620,596 users)
      


1
          indicates a weighted score.","Ranked, 
  #11102

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #3745","Full story:: /anime/80/Kidou_Senshi_Gundam, Sequel:: /anime/85/Kidou_Senshi_Zeta_Gundam, Prequel:: /anime/1091/Kidou_Senshi_Gundam_II__Ai_Senshi-hen",
1049,Yousei Florence,Beck,Kiniro no Corda: Primo Passo,Piano no Mori,Nitaboh,Hoshizora no Violin,,,,"Takahata, Isao:Director","Urakami, Yasuo:Sound Director","Miyazawa, Kenji:Original Creator","Aihara, Nobuhiro:In-Between Animation",Cello Hiki no Gauche (1982),#4757,#5452,"14,543",5,0,0,"['Takahata, Isao', 'Director'], ['Urakami, Yasuo', 'Sound Director'], ['Miyazawa, Kenji', 'Original Creator'], ['Aihara, Nobuhiro', 'In-Between Animation']","Type, 
Movie","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Jan 23, 1982","Studios, 
Oh! Production","Source, 
  Book","Genres, 
Award WinningAward Winning,         DramaDrama,         FantasyFantasy","Theme, 
MusicMusic","Demographic, 
KidsKids","Duration, 
  1 hr. 3 min.","Rating, 
  G - All Ages","Score, 
6.881 (scored by 55415,541 users)
      


1
          indicates a weighted score.","Ranked, 
  #47572

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Alternative version:: /anime/26303/Cello_Hiki_no_Gauche_OVA,Hibike! Euphonium
2671,,,,,,,,,,"Nishimaki, Hideo:Director","Takeda, Tetsuya:Theme Song Lyrics","Fujiko, Fujio F.:Original Creator","Kikuchi, Shunsuke:Music",Doraemon Movie 03: Nobita no Daimakyou,#3809,#7455,"6,723",0,2,0,"['Nishimaki, Hideo', 'Director'], ['Takeda, Tetsuya', 'Theme Song Lyrics'], ['Fujiko, Fujio F.', 'Original Creator'], ['Kikuchi, Shunsuke', 'Music']","Type, 
Movie","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 13, 1982","Studios, 
Shin-Ei Animation","Source, 
  Unknown","Genre, 
AdventureAdventure","Duration, 
  1 hr. 32 min.","Rating, 
  PG - Children","Score, 
7.091 (scored by 39113,911 users)
      


1
          indicates a weighted score.","Ranked, 
  #38092

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #7455","Members, 
    6,723","Adaptation:: /manga/12471/Daichouhen_Doraemon, Parent story:: /anime/2471/Doraemon_1979, Alternative version:: /anime/19645/Doraemon_Movie_34__Shin_Nobita_no_Daimakyou_-_Peko_to_5-nin_no_Tankentai, Other:: /anime/21493/Ninja_Hattori-kun__Nin_Nin_Ninpo_Enikki_no_Maki",
1549,Densetsu Kyojin Ideon: Hatsudou-hen,,,,,,,,,"Akehi, Masayuki:Director","Fujikawa, Keisuke:Script","Matsumoto, Leiji:Planning","Satou, Junichi:Production Assistant",1000-nen Joou: Queen Millennia,#5367,#8472,"4,912",1,1,0,"['Akehi, Masayuki', 'Director'], ['Fujikawa, Keisuke', 'Script'], ['Matsumoto, Leiji', 'Planning'], ['Satou, Junichi', 'Production Assistant']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 13, 1982","Producers, 
    None found, add some","Source, 
  Manga","Genres, 
AdventureAdventure,         DramaDrama,         FantasyFantasy,         Sci-FiSci-Fi","Duration, 
  2 hr. 1 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.751 (scored by 15551,555 users)
      


1
          indicates a weighted score.","Ranked, 
  #53672

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #8472","Members, 
    4,912","Favorites, 
  7","Adaptation:: /manga/34019/Shin_Taketori_Monogatari__1000-nen_Joou, Sequel:: /anime/1495/Maetel_Legend, Alternative version:: /anime/1548/Shin_Taketori_Monogatari__1000-nen_Joou",
3757,,,,,,,,,,Oyunamu:Episode Director,"Miyazaki, Akira:Script","Morita, Hiromitsu:Key Animation","Kobayashi, Yuuko:Background Art",Sekai Meisaku Douwa: Aladdin to Mahou no Lamp,#8716,#11646,"1,711",2,1,0,"['Oyunamu', 'Episode Director'], ['Miyazaki, Akira', 'Script'], ['Morita, Hiromitsu', 'Key Animation'], ['Kobayashi, Yuuko', 'Background Art']","Type, 
Movie","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 13, 1982","Studios, 
Toei Animation","Source, 
  Unknown","Genres, 
AdventureAdventure,         FantasyFantasy","Duration, 
  1 hr. 5 min.","Rating, 
  G - All Ages","Score, 
6.151 (scored by 729729 users)
      


1
          indicates a weighted score.","Ranked, 
  #87162

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #11646","Members, 
    1,711",,
21493,,,,,,,,,,"Sasagawa, Hiroshi:Director","Suzuki, Shinichi:Storyboard","Fujiko, Fujio F.:Original Creator","Kikuchi, Shunsuke:Music",Ninja Hattori-kun: Nin Nin Ninpo Enikki no Maki,#8566,#14081,816,0,0,0,"['Sasagawa, Hiroshi', 'Director'], ['Suzuki, Shinichi', 'Storyboard'], ['Fujiko, Fujio F.', 'Original Creator'], ['Kikuchi, Shunsuke', 'Music']","Status, 
  Finished Airing","Aired, 
  Mar 13, 1982","Producers, 
    None found, add some","Licensors, 
    None found, add some","Genres, 
ComedyComedy,         Slice of LifeSlice of Life","Theme, 
Martial ArtsMartial Arts","Duration, 
  31 min.","Rating, 
  G - All Ages","Score, 
6.181 (scored by 314314 users)
      


1
          indicates a weighted score.","Ranked, 
  #85662

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #14081","Members, 
    816","Favorites, 
  0","Other:: /anime/2671/Doraemon_Movie_03__Nobita_no_Daimakyou, Parent story:: /anime/4936/Ninja_Hattori-kun",
19897,,,,,,,,,,"Yoshida, Shigetsugu:Director","Kaneko, Yutaka:Script","Takanashi, Shizue:Original Character Design","Makaino, Kouji:Music",Ohayou! Spank (Movie),#8356,#15249,584,0,0,0,"['Yoshida, Shigetsugu', 'Director'], ['Kaneko, Yutaka', 'Script'], ['Takanashi, Shizue', 'Original Character Design'], ['Makaino, Kouji', 'Music']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 13, 1982","Producers, 
    None found, add some","Source, 
  Unknown","Genres, 
ComedyComedy,         RomanceRomance,         Slice of LifeSlice of Life","Duration, 
  1 hr. 39 min.","Rating, 
  G - All Ages","Score, 
6.221 (scored by 134134 users)
      


1
          indicates a weighted score.","Ranked, 
  #83562

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #15249","Members, 
    584","Favorites, 
  1","Adaptation:: /manga/8344/Ohayou_Spank, Parent story:: /anime/2912/Ohayou_Spank",
